0,1,2,mse,ssim,lpips
carnivaldolls.bmp,img166.bmp,0.0,0.0,1.0,0.0
rapids.bmp,img9.bmp,0.562467,17.55499267578125,0.963599651792829,0.03247912600636482
womanhat.bmp,img132.bmp,3.5416410000000003,45.360177469135806,0.6349037583845967,0.2671276926994324
womanhat.bmp,img36.bmp,1.93747,34.88387827932099,0.753605408418864,0.20402422547340393
womanhat.bmp,img162.bmp,0.0,0.0,1.0,0.0
sailing1.bmp,img165.bmp,0.0,0.0,1.0,0.0
womanhat.bmp,img42.bmp,1.479136,30.053014081790124,0.8070708699960546,0.17001603543758392
womanhat.bmp,img61.bmp,1.020802,22.857696759259262,0.8775270194447776,0.1168813481926918
womanhat.bmp,img82.bmp,0.6770510000000001,13.794600694444444,0.9451562918778486,0.05728767812252045
caps.bmp,img70.bmp,5.833312,41.30412038167318,0.7141966194278085,0.2822079062461853
caps.bmp,img88.bmp,3.0833060000000003,30.85031382242839,0.7732974952890749,0.2331426739692688
caps.bmp,img115.bmp,1.708303,23.5198474460178,0.8396489692911809,0.18004147708415985
caps.bmp,img1.bmp,1.164031,18.619425455729168,0.8908668219923969,0.1252085119485855
caps.bmp,img28.bmp,0.6770510000000001,10.880131191677515,0.9590516227271564,0.044580716639757156
lighthouse.bmp,img24.bmp,14.999972,76.96864679783951,0.4380781913250285,0.3336072862148285
stream.bmp,img151.bmp,0.0,0.0,1.0,0.0
lighthouse.bmp,img97.bmp,1.479136,41.48955054012346,0.7345886570146166,0.23489350080490112
lighthouse.bmp,img15.bmp,1.135385,37.20243441358025,0.8002431222791482,0.19823120534420013
lighthouse.bmp,img102.bmp,0.8202799999999999,30.435413773148152,0.87895899007139,0.13917702436447144
lighthouse.bmp,img4.bmp,0.447884,7.40015625,0.989552586713986,0.01698344573378563
sailing1.bmp,img125.bmp,2.1666380000000003,54.780476040310326,0.5713051115867668,0.20762701332569122
sailing1.bmp,img130.bmp,1.249969,46.551583184136284,0.7266934659887844,0.1538424789905548
sailing1.bmp,img74.bmp,1.078093,43.351843939887154,0.7745233901752856,0.1343696564435959
sailing1.bmp,img35.bmp,0.7343430000000001,33.035555521647126,0.8902347081357046,0.0834706574678421
sailing1.bmp,img46.bmp,0.591113,23.72980668809679,0.9445739603516304,0.052724339067935944
carnivaldolls.bmp,img52.bmp,2.854139,53.622930663800055,0.6549014558288541,0.24532818794250488
carnivaldolls.bmp,img6.bmp,1.765595,44.39657238197618,0.7649316208419319,0.19087618589401245
carnivaldolls.bmp,img59.bmp,1.278615,37.82916890620801,0.8378954436100011,0.15059252083301544
carnivaldolls.bmp,img27.bmp,0.8775719999999999,29.85240974648392,0.912081942058554,0.0974821001291275
carnivaldolls.bmp,img95.bmp,0.505175,12.482296425692017,0.9863013666510484,0.019506940618157387
lighthouse2.bmp,img118.bmp,2.739555,47.97643025716147,0.6404967847538925,0.20317472517490387
lighthouse2.bmp,img53.bmp,1.59372,40.60585021972656,0.7531937620686769,0.15471819043159485
lighthouse2.bmp,img55.bmp,1.278615,37.124792310926644,0.8033759542369937,0.13251441717147827
lighthouse2.bmp,img75.bmp,1.078093,34.18064626057943,0.8420653226682493,0.11041802167892456
bikes.bmp,img152.bmp,0.0,0.0,1.0,0.0
lighthouse2.bmp,img133.bmp,0.591113,19.29391988118489,0.9582077718750204,0.031694039702415466
sailing2.bmp,img10.bmp,11.333325,60.58839988425926,0.5420814002129126,0.19279354810714722
dancers.bmp,img149.bmp,0.0,0.0,1.0,0.0
sailing2.bmp,img48.bmp,2.1666380000000003,32.87733121141975,0.7533066596530631,0.12413012981414795
monarch.bmp,img173.bmp,0.0,0.0,1.0,0.0
paintedhouse.bmp,img150.bmp,0.0,0.0,1.0,0.0
sailing2.bmp,img72.bmp,1.421844,26.678841628086424,0.8330127883278586,0.09294265508651733
sailing2.bmp,img43.bmp,1.078093,22.616603009259254,0.8829268485843381,0.06948163360357285
sailing2.bmp,img84.bmp,0.7343430000000001,15.017029320987653,0.9405066323617688,0.03724431246519089
cemetry.bmp,img83.bmp,2.1666380000000003,70.5092440014912,0.539254794203664,0.24806813895702362
statue.bmp,img148.bmp,0.0,0.0,1.0,0.0
cemetry.bmp,img135.bmp,1.249969,56.03497742217987,0.7443551949566505,0.1695370376110077
cemetry.bmp,img109.bmp,0.96351,47.826571017005605,0.8330648550775837,0.12458446621894836
cemetry.bmp,img143.bmp,0.762988,39.68842828812255,0.8988353193821059,0.08395357429981232
cemetry.bmp,img13.bmp,0.6197590000000001,30.596029083144174,0.9452119115114924,0.051422059535980225
